Keyword,Explanation,Category,Related Keywords,Related Equipment
SRT,speech recognition threshold. The first speech test performed in diagnostic audiogram. Spondee words are used which are two syllable words like baseball and toothbrush. Tester is looking for softest volume patient can correctly repeat a word 3 out of 4 times. Result is a volume level measured in dB HL.,Audiometry,WRS,
WRS,"Word recognition threshold. The second speech test performed in a diagnostic audiogram. Word lists include a carrier phrase followed by a one syllable word the patient needs to repeat. ""Say the word cup"". Most common word list is the NU6, which has several versions. Tester marks response as correct or incorrect and does not change volume. Result is a % correct.",Audiometry,SRT,
EMI,"Ear mold impression. An impression is taken of the ear if clinician is ordering an ear piece for patient to connect to hearing aid, or could be for a hearing protection device",Hearing Aids,,3Shape Scanner
Earmold,,,,
REM,"Real Ear Measure. To verify hearing aids, several tests are used",,,
AC/BC,Air conduction and bone conduction,,,
Air Conduction,"Testing hearing via headphones, inserts, or soundfield speakers. Sound travels through outer, middle, and inner ear.",,,
Bone Conduction,Testing hearing via bone oscillator. Sound bypasses outer and middle ear and tests directly to inner ear. This is needed for identification of conductive hearing loss.,,,
RECD,Real Ear to Coupler Difference,,,
WRECD,,,,
Speechmapping,,,,
VRA,Visual reinforcement audiology. Behavioral hearing test typically used for patients 9 months - 3 years. Video or toy VRA devices are mounted to the left and right of patient. Tester conditions them to respond to sound by turning to the direction of the sound by rewarding them with a visual stimuli from VRA device.,,,
CPA,"Conditioned play audiometry. Typically used for patients 3 - 5 years, or until they can participate in a traditional hearing test. Tester conditions patient to respond to auditory stimuli by completing a game-like task (ex. put the ball in the bucket when you hear a beep). Requires one tester to be in the booth with patient.",,,
ASP,Audiostar Pro,,,
TSP,Tympstar Pro,,,
ABR,Auditory Brainstem Response,,,
AEP,Auditory Evoked Potential,,,
VNG,Videonystagmography,,,
RF,Radio Frequency,,,
IMU,,,,
vHIT,,,,
ACT,,,,
ANSI,,,,
SIN,,,,
Ipsi,,,,
Contra,,,,
Hz,,,,
kHz,,,,
CAPD,,,,
HF,,,,
BKB-SIN,,,,
TEN,,,,
AZ,,,,
CI,,,,
HA,,,,
HIS,,,,
eSRT,,,,
WBT,,,,
OAE,,,,
DPOAE,,,,
TEOAE,,,,
Dx,,,,
AABR,,,,
ABRIS,,,,
NU6,,,,
EOL,,,,
ENT,,,,
FSP,,,,
SNR,,,,
MLR,,,,
ECochG,,,,
